term,category
ଆସ୍ତେ,Generic
ଆହୁରି,Generic
ଆଡ଼େ,Generic
ଇଉଜ,Generic
ଇଏ,Generic
ଇଛୁକ,Symptom
ଇଞ୍ଚ,Generic
ଇଞ୍ଚର,Agriculture unit
ଇଞ୍ଚ୍,Agriculture unit
ଇତ୍ୟାଦି,Generic
ଇଥିଲ୍,Generic
ଇନକ୍ୱାରୀରେ,Generic
ଇନ୍କ୍ଲୂଡ,Generic
ଇଫେକଟ,Generic
ଇରେଜ,Generic
ଇଲେକଟ୍ରାଲ,Generic
ଇସି,Generic
ଈସି,Generic
ଉଇ,Generic
ଉକୁଣିଆ,Generic
ଉଚିତ,Generic
ଉଚ୍ଚ,Generic
ଉଚ୍ଚତା,Generic
ଉଚ୍ଚତାଟା,Generic
ଉଠି,Generic
ଉଠିବେ,Generic
ଉଠିଯିବ,Generic
ଉଠିଲା,Generic
ଉଠେଇକି,Generic
ଉତ୍ତର-ଦକ୍ଷିଣକୁ,Generic
ଉଦଯୋଗୀ,Generic
ଉଦା,Crop
ଉଦ୍ଭିଦ,Generic
ଉଧ୍ରୀଷ୍ଟ,Generic
ଉନତ,Generic
ଉନିଷ,Numeral
ଉନ୍ନୟନ,Generic
ଉପକାରିକା,Generic
ଉପକାରିତା,Generic
ଉପକୂଳବର୍ତ୍ତି,Country/Place
ଉପଦେୟକ,Pest/Disease
ଉପଯୋଗି,Generic
ଉପର,Generic
ଉପରଟା,Generic
ଉପରସ୍ତର,Generic
ଉପରସ୍ତରରେ,Generic
ଉପରସ୍ଥ,Generic
ଉପରୁକୁ,Generic
ଉପରେ,Generic
ଉର୍ବର,Generic
ଉର୍ବରତା,Soil Nutrient/Fertiliser
ଉଷୁନା,Generic
ଉଷୁମ,Season Name
ଉଷ୍ମତା,Generic
ଋଣବି,Generic
ଏ,Generic
ଏଇ,Generic
ଏଇଁରେ,Generic
ଏଇଟା,Generic
ଏଇଟାରେ,Generic
ଏଇଟି,Generic
ଏଇଠି,Generic
ଏଇଥି,Generic
ଏଇନା,Generic
ଏଇଭଳିଆ,Generic
ଏଇୟାକୁ,Generic
ଏକ,Numeral
ଏକଦମ,Generic
ଏକର,Agriculture unit
ଏକରକ,Agriculture unit
ଏକରକୁ,Agriculture unit
ଏକରୁ,Agriculture unit
ଏକା,Numeral
ଏକାଠି,Generic
ଏକାଥରେ,Generic
ଏକାନି,Generic
ଏଗୁଡ଼ାକ,Generic
ଏଗୁଡା,Generic
ଏଗୁଡ଼ା,Generic
ଏଗୁଡ଼ାକ,Generic
ଏଗୁଡ଼ାକୁ,Generic
ଏଟା,Generic
ଏଟାକୁ,Generic
ଏଟୋଫେନପ୍ରକ୍ସ,Chemical Name
ଏଠି,Generic
ଏଠିକାର,Generic
ଏଠିତ,Generic
ଏଠୁ,Generic
ଏଡିଫେନଫସ୍,Chemical Name
ଏଡିଫେନଫୋସ୍,Chemical Name
ଏଡିଫେନୋଫସ,Chemical Name
ଏଣୁ,Generic
ଏତ,Generic
ଏତକି,Generic
ଏତିକି,Generic
ଏତିକିକି,Generic
ଏତିକିରେ,Generic
ଏତେପର୍ଯ୍ୟନ୍ତ,Generic
ଏତେବଡ,Generic
ଏଥପାଇଁ,Generic
ଏଥି,Generic
ଏଥିରେ,Generic
ଏଥେରେ,Generic
ଏନ.ଆର,Variety
ଏନ.ଆର.ଆଇ,Generic
ଏପଟେ,Generic
ଏପର୍ଯ୍ୟନ୍ତ,Generic
ଏପ୍ରକାର,Generic
ଏବଂ,Generic
ଏବର୍ଷ,Generic
ଏବେ,Generic
ଏବେ,Generic
ତମର,Generic
ଏବେ,Generic
ଯଉ,Generic
ଏଭଳିଆ,Generic
ଏମ.ଏଲ,Agriculture unit
ଏମ.ଓ.ପି,Soil Nutrient/Fertiliser
ଏମ.ଓ.ପି.ବ୍ୟବହାର,Agri Practice
ଏମ.ଟି.ୟୁ,Variety
ଏମଟିୟୁ,Variety
ଏମାନଙ୍କୁ,Generic
ଏମାନେ,Generic
ଏମିତି,Generic
ଏମିତିକୁ,Generic
ଏଯୋଉ,Generic
ଏରକମ,Generic
ଏରିଆ,Generic
ଏଵଂ,Generic
ଏସ.ଏଚ.ଜି,Agriculture unit
ଏସ.ଏସ.ପି,Soil Nutrient/Fertiliser
ଏସ.ପି,Generic
ଏସବୁ,Generic
ଏସ୍ସି,Generic
ଏହା,Generic
ଏହାର,Generic
ଏହାସତ୍ବେ,Generic
ଏହାସହିତ,Generic
ଏହି,Generic
ଏୟା,Generic
ଓ,Generic
ଓଃ,Generic
ଓଜନ,Agriculture unit
ଓଡ,Crop
ଓଡ଼,Generic
ଓଦା,Crop
ଓଦାଳିଆ,Generic
ଓଧା,Generic
ଓଳେଇ,Generic
ଓସାର,Soil Nutrient/Fertiliser
ଓସାରଟା,Generic
ଓହଳିକି,Generic
ଓହୋ,Generic
ଓଡ଼ିଶାର,Country/Place
ଔଷଧ,Generic
ଔଷଧିୟ,Generic
କଂଟିନିଉ,Generic
କଅଣ,Generic
କଞ୍ଚା,Generic
କଟା,Generic
କଠଗୋର,Generic
କଡେ,Generic
କଢକଢ,Generic
କଣ,Generic
କଣା,Generic
କଥା,Generic
କଥାବାର୍ତ୍ତା,Generic
କଥାରେ,Generic
କପଡା,Generic
କପୋଷ୍ଟ,Soil Nutrient/Fertiliser
କପଡ଼ାର,Generic
କପଡ଼ାରେ,Generic
କମ,Generic
କମଟା,Generic
କମଦାମ,Generic
କମଳାପାହାଳୀ,Variety
କମି,Generic
କମିଯିବ,Generic
କମେଇବା,Agri Practice
କମ୍ପାନୀର,Generic
କର,Generic
କରଞ୍ଜ,Crop
କରଞ୍ଜା,Crop
କରନ୍ତି,Generic
କରନ୍ତିକି,Month Name
କରନ୍ତୁ,Generic
କରନ୍ତେ,Generic
କରା,Generic
କରାଗଲାନା,Generic
କରାଯାଇଚି,Generic
କରାଯାଇଛି,Generic
କରାଯାଇପରେ,Generic
କରାଯାଇପାରିବ,Generic
କରାଯାଇପାରୁଛି,Generic
କରାଯାଉଛି,Generic
କରାଯାଏ,Generic
କରାଯିବ,Generic
କରାହଉଛି,Generic
କରାହବ,Generic
କରାହେଇଛି,Generic
କରାହେଇଥିଲା,Generic
କରି,Generic
କରିଆସୁଛି,Generic
କରିକି,Generic
କରିଚ,Generic
କରିଚି,Generic
କରିଚୁ,Generic
କରିଛନ୍ତି,Generic
କରିଛି,Generic
କରିଛୁ,Generic
କରିଥାଉ,Generic
କରିଥିବା,Generic
କରିଥିଲା,Generic
କରିଥିଲି,Generic
ଏବଂ,Generic
କରିଥିଲୁ,Generic
କରିଥିଲେ,Generic
କରିଦିଅନ୍ତୁ,Generic
କରିଦିଏ,Generic
କରିଦେଇଥିଲେ,Generic
କରିଦେଉଅଛି,Generic
କରିଦେଉଥିବୁ,Generic
କରିଦେବା,Generic
କରିଦେବି,Generic
କରିଦେବୁ,Generic
କରିଦେଲ,Generic
କରିଦେଲି,Generic
କରିଦେଲେ,Generic
କରିଦେଲେଣି,Generic
କରିନାହାନ୍ତି,Generic
କରିନିଅନ୍ତୁ,Generic
କରିନ୍ତୁ,Generic
କରିପାରିବ,Generic
କରିପାରିବା,Generic
କରିପାରିବେ,Generic
କରିପାରୁଛନ୍ତି,Generic
କରିବ,Generic
କରିବକି,Generic
କରିବା,Generic
କରିବା,Generic
<speaker-overlap>,Not Applicable
ପ୍ରକୃତରେ,Generic
କରିବାକୁ,Generic
କରିବାନି,Generic
କରିବାପାଇଁ,Generic
କରିବାର,Generic
କରିବାରେ,Generic
କରିବି,Generic
କରିବୁ,Generic
କରିବେ,Generic
କରିବେନି,Generic
କରିଲେଣି,Generic
କରିସାରିଲା,Generic
କରିସାରିଲେ,Generic
କରିହବ,Generic
କରୁ,Generic
କରୁଚ,Generic
କରୁଚି,Generic
କରୁଚୁ,Generic
କରୁଛ,Generic
କରୁଛକି,Generic
କରୁଛନ୍ତି,Generic
କରୁଛି,Generic
କରୁଛୁ,Generic
କରୁଛେ,Generic
କରୁଥାଉ,Generic
କରୁଥିବା,Generic
କରୁନ୍ତିରେ,Generic
କରେ,Generic
କର୍ମୀ,Generic
କଲ,Generic
କଲଣି,Generic
ଯଦି,Generic
କଲର,Generic
କଲରା,Crop
କଲା,Crop
କଲାବେଳକୁ,Crop
କଲାବେଳେ,Generic
କଲି,Generic
କଲୁ,Generic
କଲେ,Generic
କଲେଣି,Generic
କଷି,Agri Practice
କସ୍ଟ,Generic
କହିଚି,Generic
କହିପାରିବେ,Generic
କହିବ,Generic
କହିବୁ,Generic
କହିବେ,Generic
କହିବେକି,Generic
କହିଲା,Generic
କହିଲେ,Generic
କହୁଛନ୍ତି,Generic
କହୁଥିଲା,Generic
କହୁଥିଲେ,Generic
କା,Generic
କାଇଁ,Pest/Disease
କାଇଟା,Pest/Disease
କାକୁଡ଼ି,Crop
କାକୁଡ଼ିକୁ,Generic
କାକୁଡ଼ିଟା,Generic
କାକୁଡ଼ିର,Crop
କାକୁଡ଼ିରେ,Crop
କାକୁଡି,Crop
କାକୁଡିରୁ,Crop
କାକୁଡ଼ି,Generic
କାଟଲୁ,Pest/Disease
କାଟି,Agri Practice
କାଟିକି,Agri Practice
କାଟିଦିଅନ୍ତୁ,Agri Practice
କାଟିଦେବୁ,Agri Practice
କାଟିଦେଲେ,Generic
କାଟିଲା,Generic
କାଠି,Generic
କାଠିଟା,Generic
କାଠିରେ,Generic
କାଡିଦେବୁ,Generic
କାଢି,Agri Practice
କାଢିକିରି,Generic
କାଢୁଛୁ,Agri Practice
କାଣ୍ଡବିନ୍ଧା,Agri Practice
କାଣ୍ଡମାଛି,Pest/Disease
କାଦୁଅ,Crop
କାମ,Generic
କାମଟା,Generic
କାମରେ,Generic
କାର,Generic
କାରଣ,Generic
କାରବେଣ୍ଡାଜ଼ୀମ,Chemical Name
କାରବେଣ୍ଡାଜିମ୍,Chemical Name
କାରିକ,Generic
କାର୍ଟାପ୍,Chemical Name
କାର୍ପ,Generic
କାର୍ଯ୍ୟକ୍ରମକୁ,Generic
କାଲିକୁ,Generic
କାଳିନ,Generic
କାଳେ,Generic
କାଶିବା,Symptom
କାହାକୁ,Generic
କାହିଁକି,Generic
କାହିଁକିନା,Generic
କାଡ଼ିକି,Agri Practice
କାଡ଼ିଦେବୁ,Agri Practice
କାଢ଼ିବା,Agri Practice
କି,Generic
କିଆରିକୁ,Generic
କିଆରିର,Generic
କିଆରିରେ,Crop
କିଆରୀ,Generic
କିଆରୀକୁ,Generic
କିଆରୀର,Crop
କିଆରୀରେ,Generic
କିଏ,Generic
କିଛ,Generic
କିଛି,Generic
କିଛିବି,Generic
କିମ୍ବା,Generic
କିରଣ,Generic
କିରି,Generic
କିଲ,Agriculture unit
କିଲୋ,Agriculture unit
କିଲୋଗ୍ରାମ,Agriculture unit
କିଳା,Generic
କିସମ,Variety
କିସମଟା,Generic
କିସମର,Generic
କୀଟନାଶ,Chemical Name
କୁ,Generic
କୁଇଣ୍ଟାଲ,Agriculture unit
କୁଇନାଲଫସ୍,Chemical Name
କୁଇନାଲଫୋସ୍,Chemical Name
କୁଣ୍ଟାଲ,Agriculture unit
କୁଣ୍ଡଥିବ,Agri Practice
କୁଣ୍ଡରେ,Generic
କୁଣ୍ଡା,Generic
କୁଣ୍ଡାକୁ,Generic
କୁଣ୍ଡାଟା,Pest/Disease
କୁମୁଳା,Crop
କୁଶଳି,Variety
କୁହ,Generic
କୁହନ୍ତୁ,Generic
କୂଡା,Generic
କେ,Generic
କେ.ଜି,Generic
କେଉଁଝର,Country/Place
କେଜିଏ,Agriculture unit
କେଜିଏରୁ,Agriculture unit
କେଜିକିଆ,Generic
କେଣ୍ଡରେ,Generic
କେତ,Agriculture unit
କେତେ,Generic
କେତେକି,Generic
କେତେଟା,Numeral
କେତେଟି,Generic
କେତେଥର,Numeral
କେତେରେ,Generic
କେତେସ୍ତର,Generic
କେନ୍ଦାକଟା,Pest/Disease
କେନ୍ଦୁଝର,Country/Place
କେବଳ,Generic
କେବେଠୁ,Generic
କେମିତି,Generic
କେମେତି,Generic
କେରି,Crop
କୋ,Generic
କୋଉ,Generic
କୋଉଠି,Generic
କୋଉଠୁ,Generic
କୋଠାଗର,Agriculture unit
କୋଠାବର,Generic
କୋଡ଼ା,Crop
କୋଡ଼ି,Crop
କୋଡ଼ିରେ,Generic
କୋଡା,Crop
କୋଡାଖସା,Pest/Disease
କୋଡିଏ,Generic
କୋଡିଏରୁ,Generic
କୋଡିକି,Generic
କୋନୋଉଇଡର,Generic
କୋନୋଉଇଡରରେ,Generic
କୋବି,Crop
କୋରାପୁଟ,Country/Place
କୋଲେଷ୍ଟରର,Chemical Name
କୋଳ,Crop
କୋଡ଼ିଏ,Crop
କୋଡ଼ିଏଟା,Generic
କୌଶଳଟା,Agri Practice
କ୍ଯୁଇଣ୍ଟାଲ,Agriculture unit
କ୍ଯୁଇଣ୍ଟାଲକୁ,Agriculture unit
କ୍ଲୋରପାଇରିଫସ୍,Chemical Name
କ୍ଲୋରାନ୍ଟ୍ରାନିଲିପ୍ରୋଲ୍,Chemical Name
କ୍ଳୋରାନ୍ଟ୍ରାନିଲିପ୍ରୋଲ୍,Chemical Name
କ୍ଷତ,Symptom
କ୍ଷତି,Generic
କ୍ଷତିକାରକ,Pest/Disease
କ୍ଷମ,Generic
କ୍ଷୀରମଣୀ,Variety
କ୍ୟାପଟେନ,Chemical Name
କ୍ୟାଲସିୟମ୍,Soil Nutrient/Fertiliser
କଡ଼ିବାକୁ,Generic
ଖଣ୍ଡଗିରି,Country/Place
ଖଣ୍ଡେ,Generic
ଖତ,Generic
ଖରଚ୍ୟାନ୍ତ,Generic
ଖରା,Generic
ଖରାଟିଏ,Generic
ଖରାପ,Generic
ଖରାରେ,Generic
ଖର୍ଚ୍ଚ,Generic
ଖସା,Variety
ଖା,Generic
ଖାଇ,Generic
ଖାଇତେ,Generic
ଖାଇପି,Generic
ଖାଇବା,Generic
ଖାଇବାକୁ,Generic
ଖାଇବାଟା,Generic
ଖାଇବେ,Generic
ଖାଉଛନ୍ତି,Generic
ଖାଦ୍ୟ,Generic
ଖାଦ୍ୟକଥା,Generic
ଖାଦ୍ୟକୁ,Generic
ଖାଦ୍ୟଟା,Generic
ଖାଦ୍ୟଟାକୁ,Generic
ଖାଦ୍ୟଦେଲେ,Generic
ଖାଲି,Generic
ଖାଲୁଆ,Generic
ଖୁଡି,Generic
ଖୁବ,Generic
ଖୁରସି,Generic
ଖୁରସେଇ,Crop
ଖୁରସେଇବାର,Agri Practice
ଖୁରୁଞ୍ଜ,Generic
ଖୁଲପୁଟୁଳି,Pest/Disease
ଖୁସଉଚି,Variety
ଖୁସାନ୍ତୁ,Generic
ଖୁସି,Generic
ଖୁସୀ,Generic
ଖୁସେଇ,Generic
ଖୁସେଇବା,Agri Practice
ଖୁସେଇବାର,Agri Practice
ଖୁସେଇଲି,Generic
ଖୁସେଇସାରିକି,Generic
ଖୋଡ଼ି,Generic
ଖୋଡା,Agri Practice
ଖୋଡି,Agri Practice
ଖୋଲହବ,Generic
ଖୋଲା,Generic
ଖୋଲି,Generic
ଖୋଲିକି,Agri Practice
ଖୋଲିଗଲା,Generic
ଖୋଲିବା,Generic
ଖୋଲୁଛନ୍ତି,Generic
ଖୋଲୁଥିବା,Generic
ଖୋଳିକି,Generic
ଖୋଳିଲି,Generic
ଖୋସା,Pest/Disease
ଖୋସିବାକୁ,Agri Practice
ଗଛ,Generic
ଗଛକୁ,Generic
ଗଛଟା,Generic
ଗଛବଛ,Generic
ଗଛବି,Agri Practice
ଗଛମୂଳକୁ,Generic
ଗଛର,Generic
ଗଛରୁ,Generic
ଗଠଣ,Generic
ଗଡିଆରେ,Generic
ଗଡିଚଦର,Generic
ଗତବର୍ଷ,Generic
ଗପସପ,Generic
ଗବେଷଣ,Generic
ଗଭୀରତା,Generic
ଗଭୀରତାଟା,Agri Practice
ଗଭୀରରେ,Generic
ଗରମ,Generic
ଗର୍ଭ,Generic
ଗଲା,Generic
ଗଲାଣି,Generic
ଗଲାପରେ,Generic
ଗଲେ,Generic
ଗାଁ,Country/Place
ଗାଁଟା,Generic
ଗାଁଟାକୁ,Agriculture unit
ଗାଁରେ,Country/Place
ଗାଡ଼ିଆରୁ,Generic
ଗାଡ଼ିଆରେ,Generic
ଗାଡ଼ିରେ,Generic
ଗାଡି,Generic
ଗାର,Generic
ଗାରର,Generic
ଗାୟତ୍ରୀ,Variety
ସାରଳା,Variety
ଗୀତାଞ୍ଜଳି,Generic
ଗୁଡ଼ା,Generic
ଗୁଡ଼ାକ,Pest/Disease
ଗୁଡ଼ାକରେ,Generic
ଗୁଡ଼ି,Generic
ଗୁଡ଼ିକୁ,Generic
ଗୁଡ଼େଇକି,Generic
ଗୁଡା,Generic
ଗୁଡାକ,Generic
ଗୁଡାକୁ,Generic
ଗୁଡିକ,Generic
ଗୁଡିକୁ,Generic
ଗୁଣ,Generic
ଗୁଣେ,Generic
ଗୁଣ୍ଡ,Generic
ଗୁରତପୁର୍ଣ,Generic
ଗୁରୁତ୍ୱପୁର୍ଣ,Generic
ଗୁଡ଼େ,Generic
ଗୃପ,Generic
ଗୃପର,Generic
ଗୃପରେ,Generic
ଗୋଟା,Generic
ଗୋଟାଏ,Generic
ଗୋଟାକୁ,Numeral
ଗୋଟିଏ,Numeral
ଗୋଟେ,Numeral
ଗୋଟେକୁ,Generic
ଗୋଟେଗୋଟେ,Generic
ଗୋଟେସ୍ତର,Generic
ଗୋଡ଼ା,Generic
ଗୋଡିଜାତ,Generic
ଗୋବର,Soil Nutrient/Fertiliser
ଗୋବରବି,Soil Nutrient/Fertiliser
ଗୋମୂତ୍ର,Soil Nutrient/Fertiliser
ଗୋରିଆ,Crop
ଗୋଲେ,Generic
ଗୋଲେଇକି,Crop
ଗୋଳାଇ,Generic
ଗୋଳେଇ,Agri Practice
ଗୋଳେଇକିରି,Generic
ଗୋଳେଇଲା,Generic
ଗ୍ରରେନ,Generic
ଗ୍ରାଫ୍ଟିଂ,Agri Practice
ଗ୍ରାଫ୍ଟିଂକୁ,Agri Practice
ଗ୍ରାଫ୍ଟିଂରେ,Agri Practice
ଗ୍ରାମ,Country/Place
ଗ୍ରାମବିକାଶ,Generic
ଗ୍ରାମର,Generic
ଗ୍ରୀନ,Generic
ଗ୍ରୁପ,Generic
ଗ୍ରୁପର,Generic
ଗ୍ରୁପରେ,Generic
ଗ୍ୟାସଟା,Generic
ଘଟୁଆ,Generic
ଘଣ୍ଟା,Generic
ଘଣ୍ଟେ,Generic
ଘର,Generic
ଘରକୁ,Generic
ଘରୁ,Generic
ଘରେ,Generic
ଘରୋଇ,Generic
ଘସମରା,Generic
ଘସା,Crop
ଘାଣ୍ଟୁଛି,Generic
ଘାସ,Generic
ଘାସକୁ,Crop
ଘାସଫାସ,Pest/Disease
ଘାସର,Crop
ଘାସାରୁ,Generic
ଘେରା,Generic
ଘେରାଠୁ,Generic
ଘେରାରେ,Generic
ଘୋଡଉଛୁ,Generic
ଘୋଡଣି,Crop
ଘୋଡାଇ,Agri Practice
ଘୋଡେଇ,Generic
ଘୋଡେଇଦେବା,Agri Practice
ଘୋଡେ଼ଇ,Generic
ଘୋଡେ଼ଇବା,Agri Practice
ଚଉଡା଼,Generic
ଚଉଦ,Numeral
ଚଉଦରୁ,Numeral
ଚଉରାଅଶୀ,Variety
ଚଉରାଳିଶି,Generic
ଚଉଡ଼ା,Generic
ଚକ୍ରୀ,Generic
ଚଛତୁ,Generic
ଚଲଉଛନ୍ତି,Generic
ଚଲା,Generic
ଚଲାଇ,Agri Practice
ଚଲାଯାଏ,Generic
ଚଲେଇ,Generic
ଚଲେଇକି,Generic
ଚଲେଇଥାଉ,Generic
ଚଲେଇବା,Generic
ଚଲେଇବାକୁ,Generic
ଚଲେଇଲା,Generic
ଚଲେଇଲେ,Generic
ଚଳେଇ,Agri Practice
ଚଳେଇଛନ୍ତି,Generic
ଚଷିବା,Agri Practice
ଚାଁହୁଛୁ,Generic
ଚାଇନା,Country/Place
ଚାଉଳ,Crop
ଚାଉଳକୁ,Crop
ଚାଉଳଟାକୁ,Crop
ଚାଟୁ,Generic
ଚାନ୍ସ,Generic
ଚାମଚ,Generic
ଚାମଚରେ,Generic
ଚାମୁଚ,Agriculture unit
ଚାମୁଚିଏ,Agriculture unit
ଚାମୁଚେ,Agriculture unit
ଚାର,Soil Nutrient/Fertiliser
ଚାରଟା,Numeral
ଚାରରୁ,Numeral
ଚାରି,Soil Nutrient/Fertiliser
ଚାରିକାନି,Agriculture unit
ଚାରିଗ୍ରାମରୁ,Country/Place
ଚାରିଜାଗା,Generic
ଚାରିପାର୍ଶ୍ଵରେ,Generic
ଚାରିରୁ,Numeral
ଚାରିଶହଅଶୀ,Numeral
ଚାଲ,Crop
ଚାଲନ୍ତୁ,Generic
ଚାଲିଚି,Generic
ଚାଲିଛି,Generic
ଚାଳିଶ,Numeral
ଚାଳିଶି,Numeral
ଚାଳିଶିରୁ,Numeral
ଚାଷ,Agri Practice
ଚାଷ,Agri Practice
ପଚାଶ,Numeral
ଚାଷକୁ,Agri Practice
ଚାଷଟା,Agri Practice
ଚାଷର,Agri Practice
ଚାଷରୁ,Generic
ଚାଷି,Generic
ଚାଷି,Generic
<speaker-overlap>,Not Applicable
ପଚାଶ,Numeral
ଚାଷୀ,Generic
ଚାଷୀଭାଇ,Generic
ଚାଷୀମାନଙ୍କର,Generic
ଚାହାଁ,Generic
ଚାହାଁନ୍ତି,Generic
ଚାହିଁବ,Generic
ଚାହୁଁଛ,Generic
ଚାହୁଁଛନ୍ତି,Generic
କରିପାରୁନାହାନ୍ତି,Generic
ଚାହୁଁଛନ୍ତି,Generic
ତାହେଲେ,Generic
ଚିନ୍ହ,Generic
ଚୁନ,Soil Nutrient/Fertiliser
ଚୁନଟା,Generic
ଚୁନାକୁ,Soil Nutrient/Fertiliser
ଚୁଲି,Crop
ଚୁଲିରେ,Generic
ଚେନାରୀ,Country/Place
ଚେର,Generic
ଚେଷ୍ଟା,Generic
ଚ୍ୟାର,Generic
ଛଅ,Numeral
ଛଅଶହ,Generic
ଛଟା,Generic
ଛଡ଼େଇଲେ,Agri Practice
ଛଡା,Generic
ଛତୁ,Generic
ଛତୁ,Generic
<speaker-overlap>,Not Applicable
<unintelligible>,Not Applicable
ତାହେଲେ,Generic
ଛତୁକୁ,Generic
ଛତୁଟା,Generic
