_id,uid,model,error_type,ref_word,hyp_word,start_time,end_time,clip_path
43098f12,29d18f65-9d95-4a25-9608-54076c3bec35,google,sub,వరిలో,లో,1.3,1.4,wav_files/telugu/29d18f65-9d95-4a25-9608-54076c3bec35_16000.wav
39869bd1,29d18f65-9d95-4a25-9608-54076c3bec35,google,sub,దోమకాటు,దోమ,1.4,2.0,wav_files/telugu/29d18f65-9d95-4a25-9608-54076c3bec35_16000.wav
ce1eae6a,29d18f65-9d95-4a25-9608-54076c3bec35,google,sub,పోవాలంటే,కాటు,2.0,2.3,wav_files/telugu/29d18f65-9d95-4a25-9608-54076c3bec35_16000.wav
fb9378b7,29d18f65-9d95-4a25-9608-54076c3bec35,google,sub,ఏమి,పోవాలంటే,2.3,2.7,wav_files/telugu/29d18f65-9d95-4a25-9608-54076c3bec35_16000.wav
14af4101,29d18f65-9d95-4a25-9608-54076c3bec35,google,sub,చేయాలి?,ఏం,2.7,2.9,wav_files/telugu/29d18f65-9d95-4a25-9608-54076c3bec35_16000.wav
01561ad0,b07f59aa-3d25-443f-9714-6ba0af16621c,google,sub,"బసిపేనుకు,",బస్సు,2.6,3.7,wav_files/telugu/b07f59aa-3d25-443f-9714-6ba0af16621c_16000.wav
84933f72,b07f59aa-3d25-443f-9714-6ba0af16621c,google,sub,దానికి,పేలు,3.7,4.1,wav_files/telugu/b07f59aa-3d25-443f-9714-6ba0af16621c_16000.wav
9c55515c,b07f59aa-3d25-443f-9714-6ba0af16621c,google,sub,ఏం,పోవడానికి,4.1,4.5,wav_files/telugu/b07f59aa-3d25-443f-9714-6ba0af16621c_16000.wav
85ddce37,b07f59aa-3d25-443f-9714-6ba0af16621c,google,sub,రెసిపీటీస్,ఏం,4.5,5.0,wav_files/telugu/b07f59aa-3d25-443f-9714-6ba0af16621c_16000.wav
116684d8,b07f59aa-3d25-443f-9714-6ba0af16621c,google,sub,వాడాలి?,వాడాలి,5.0,6.5,wav_files/telugu/b07f59aa-3d25-443f-9714-6ba0af16621c_16000.wav
8651adc2,0b483af7-26a0-4679-91e8-686a28c58112,google,ins,,తోట,1.0,1.2,wav_files/telugu/0b483af7-26a0-4679-91e8-686a28c58112_16000.wav
803138da,0b483af7-26a0-4679-91e8-686a28c58112,google,sub,తోటలో,లో,1.2,1.4,wav_files/telugu/0b483af7-26a0-4679-91e8-686a28c58112_16000.wav
01de6828,0b483af7-26a0-4679-91e8-686a28c58112,google,ins,,దోమ,1.7,1.7,wav_files/telugu/0b483af7-26a0-4679-91e8-686a28c58112_16000.wav
5d761e89,0b483af7-26a0-4679-91e8-686a28c58112,google,sub,దోమకి,కి,1.7,2.0,wav_files/telugu/0b483af7-26a0-4679-91e8-686a28c58112_16000.wav
659b9736,0b483af7-26a0-4679-91e8-686a28c58112,google,sub,చేయాలి?,చేయాలి,2.6,3.0,wav_files/telugu/0b483af7-26a0-4679-91e8-686a28c58112_16000.wav
9f5b528a,840514db-0170-4800-a269-da67d45649df,google,sub,బొప్పాయి,30,1.2,3.5,wav_files/telugu/840514db-0170-4800-a269-da67d45649df_16000.wav
f51dd309,840514db-0170-4800-a269-da67d45649df,google,sub,మందులు,మందు,3.9,4.2,wav_files/telugu/840514db-0170-4800-a269-da67d45649df_16000.wav
3e2bf93f,840514db-0170-4800-a269-da67d45649df,google,sub,కొట్టాలి?,కొట్టాలి,4.2,4.3,wav_files/telugu/840514db-0170-4800-a269-da67d45649df_16000.wav
e20391a1,4e056452-be20-42a7-b1f9-7f45e455e735,google,del,ఈ,,0.0,28.573,wav_files/telugu/4e056452-be20-42a7-b1f9-7f45e455e735_16000.wav
e6e22a3b,4e056452-be20-42a7-b1f9-7f45e455e735,google,sub,రోజు,ఈరోజు,0.0,2.6,wav_files/telugu/4e056452-be20-42a7-b1f9-7f45e455e735_16000.wav
c0714abd,4e056452-be20-42a7-b1f9-7f45e455e735,google,ins,,ఉంది,3.7,4.1,wav_files/telugu/4e056452-be20-42a7-b1f9-7f45e455e735_16000.wav
38c35735,4e056452-be20-42a7-b1f9-7f45e455e735,google,ins,,రాజు,9.4,11.4,wav_files/telugu/4e056452-be20-42a7-b1f9-7f45e455e735_16000.wav
3a7de60b,4e056452-be20-42a7-b1f9-7f45e455e735,google,ins,,హైదరాబాద్,11.4,13.2,wav_files/telugu/4e056452-be20-42a7-b1f9-7f45e455e735_16000.wav
875f5cb6,4e056452-be20-42a7-b1f9-7f45e455e735,google,sub,ఉంది?,హైదరాబాద్,13.2,16.9,wav_files/telugu/4e056452-be20-42a7-b1f9-7f45e455e735_16000.wav
d5f874d4,8a216894-dc78-42ae-bfc3-0f5bc2e6ddf4,google,sub,వచ్చా?,వచ్చా,3.9,4.4,wav_files/telugu/8a216894-dc78-42ae-bfc3-0f5bc2e6ddf4_16000.wav
f2e72ee8,9d7ee650-81d6-4f14-9d7d-f5a53bee2bef,google,ins,,పత్తి,0.2,1.7,wav_files/telugu/9d7ee650-81d6-4f14-9d7d-f5a53bee2bef_16000.wav
7633baf3,9d7ee650-81d6-4f14-9d7d-f5a53bee2bef,google,sub,పత్తిలో,లో,1.7,1.9,wav_files/telugu/9d7ee650-81d6-4f14-9d7d-f5a53bee2bef_16000.wav
d553a7a9,9d7ee650-81d6-4f14-9d7d-f5a53bee2bef,google,sub,"దోమకి,",దోమ,3.5,3.9,wav_files/telugu/9d7ee650-81d6-4f14-9d7d-f5a53bee2bef_16000.wav
bc9f91cd,9d7ee650-81d6-4f14-9d7d-f5a53bee2bef,google,ins,,దోమ,4.7,5.1,wav_files/telugu/9d7ee650-81d6-4f14-9d7d-f5a53bee2bef_16000.wav
45c7b562,9d7ee650-81d6-4f14-9d7d-f5a53bee2bef,google,sub,దోమకి,కి,5.1,5.3,wav_files/telugu/9d7ee650-81d6-4f14-9d7d-f5a53bee2bef_16000.wav
8047e2ec,9d7ee650-81d6-4f14-9d7d-f5a53bee2bef,google,sub,కొట్టాలి?,కొట్టాలి,6.4,6.4,wav_files/telugu/9d7ee650-81d6-4f14-9d7d-f5a53bee2bef_16000.wav
149fad32,9da505e7-d97f-4067-8eb5-9664a8ff153f,google,sub,చేయాలి?,చేయా,5.8,6.1,wav_files/telugu/9da505e7-d97f-4067-8eb5-9664a8ff153f_16000.wav
8c40f08d,b44fb9bf-485e-4c0d-af16-1af3c9389b0e,google,ins,,వరి,0.3,1.3,wav_files/telugu/b44fb9bf-485e-4c0d-af16-1af3c9389b0e_16000.wav
fa279e7f,b44fb9bf-485e-4c0d-af16-1af3c9389b0e,google,sub,వరిలో,లో,1.3,1.4,wav_files/telugu/b44fb9bf-485e-4c0d-af16-1af3c9389b0e_16000.wav
0fa88547,b44fb9bf-485e-4c0d-af16-1af3c9389b0e,google,ins,,పురుగులు,2.1,2.9,wav_files/telugu/b44fb9bf-485e-4c0d-af16-1af3c9389b0e_16000.wav
7eac0aec,b44fb9bf-485e-4c0d-af16-1af3c9389b0e,google,sub,పురుగులకి,కి,2.9,3.1,wav_files/telugu/b44fb9bf-485e-4c0d-af16-1af3c9389b0e_16000.wav
00b721cd,b44fb9bf-485e-4c0d-af16-1af3c9389b0e,google,sub,చేయాలి?,చెయ్,4.2,4.9,wav_files/telugu/b44fb9bf-485e-4c0d-af16-1af3c9389b0e_16000.wav
90fc6191,cce27d25-e1df-4e35-bd7b-d192fec38edc,google,ins,,నివారణ,3.2,4.0,wav_files/telugu/cce27d25-e1df-4e35-bd7b-d192fec38edc_16000.wav
6b6549c9,cce27d25-e1df-4e35-bd7b-d192fec38edc,google,sub,నివారణకు,కు,4.0,4.8,wav_files/telugu/cce27d25-e1df-4e35-bd7b-d192fec38edc_16000.wav
2d8add1d,cce27d25-e1df-4e35-bd7b-d192fec38edc,google,sub,చేయాలి?,చేయాలి,6.8,7.3,wav_files/telugu/cce27d25-e1df-4e35-bd7b-d192fec38edc_16000.wav
8d464cb2,295b5af2-0a5d-45a6-a85f-bbd9f8848aad,google,sub,తీసుకోవాలి?,తీసుకోవాలి,3.8,4.2,wav_files/telugu/295b5af2-0a5d-45a6-a85f-bbd9f8848aad_16000.wav
f93a7ea4,3bf790d3-d99d-430f-8377-6db9276b1aad,google,ins,,తోట,2.6,2.7,wav_files/telugu/3bf790d3-d99d-430f-8377-6db9276b1aad_16000.wav
8e862e81,3bf790d3-d99d-430f-8377-6db9276b1aad,google,sub,తోటకి,కి,2.7,3.2,wav_files/telugu/3bf790d3-d99d-430f-8377-6db9276b1aad_16000.wav
85c6280d,3bf790d3-d99d-430f-8377-6db9276b1aad,google,sub,కాదా?,కాదా,9.0,9.3,wav_files/telugu/3bf790d3-d99d-430f-8377-6db9276b1aad_16000.wav
bfb39b93,44e6d396-0f30-46e5-b1e3-144830d8f815,google,del,మిరప,,0.0,8.573,wav_files/telugu/44e6d396-0f30-46e5-b1e3-144830d8f815_16000.wav
0bd307f4,44e6d396-0f30-46e5-b1e3-144830d8f815,google,del,తోటలో,,0.0,8.573,wav_files/telugu/44e6d396-0f30-46e5-b1e3-144830d8f815_16000.wav
4884aa41,44e6d396-0f30-46e5-b1e3-144830d8f815,google,del,వేరు,,0.0,8.573,wav_files/telugu/44e6d396-0f30-46e5-b1e3-144830d8f815_16000.wav
9db05ccb,44e6d396-0f30-46e5-b1e3-144830d8f815,google,sub,కుళ్ళు,ఎరువులు,0.0,4.7,wav_files/telugu/44e6d396-0f30-46e5-b1e3-144830d8f815_16000.wav
2aaaee9a,44e6d396-0f30-46e5-b1e3-144830d8f815,google,sub,నివారించాలి?,నివారించాలి,6.6,7.6,wav_files/telugu/44e6d396-0f30-46e5-b1e3-144830d8f815_16000.wav
5f85c8e7,b0d38e68-b73b-465e-ae0f-cba9f938cfca,google,ins,,మిర్చి,0.0,1.4,wav_files/telugu/b0d38e68-b73b-465e-ae0f-cba9f938cfca_16000.wav
942d9462,b0d38e68-b73b-465e-ae0f-cba9f938cfca,google,ins,,లోని,1.4,1.7,wav_files/telugu/b0d38e68-b73b-465e-ae0f-cba9f938cfca_16000.wav
306c43c6,b0d38e68-b73b-465e-ae0f-cba9f938cfca,google,ins,,తెల్ల,1.7,2.0,wav_files/telugu/b0d38e68-b73b-465e-ae0f-cba9f938cfca_16000.wav
0e9e8950,b0d38e68-b73b-465e-ae0f-cba9f938cfca,google,sub,మిర్చిలోని,దోమ,2.0,2.2,wav_files/telugu/b0d38e68-b73b-465e-ae0f-cba9f938cfca_16000.wav
a3139f29,b0d38e68-b73b-465e-ae0f-cba9f938cfca,google,sub,తెల్లదోమకి,కి,2.2,2.4,wav_files/telugu/b0d38e68-b73b-465e-ae0f-cba9f938cfca_16000.wav
6528d9c5,b0d38e68-b73b-465e-ae0f-cba9f938cfca,google,del,చేయాలి?,,0.0,3.514,wav_files/telugu/b0d38e68-b73b-465e-ae0f-cba9f938cfca_16000.wav
80c94f3c,e46b3c53-9fdb-4ece-9d68-9ec9eade0e5d,google,sub,వేరుశనగ,వేరుశెనగ,0.1,1.7,wav_files/telugu/e46b3c53-9fdb-4ece-9d68-9ec9eade0e5d_16000.wav
68fe3118,e46b3c53-9fdb-4ece-9d68-9ec9eade0e5d,google,sub,విత్తిన,విత్తన,1.7,2.0,wav_files/telugu/e46b3c53-9fdb-4ece-9d68-9ec9eade0e5d_16000.wav
ab1b14be,e46b3c53-9fdb-4ece-9d68-9ec9eade0e5d,google,sub,చేయవలసినటువంటి,చేయవచ్చునని,2.6,3.1,wav_files/telugu/e46b3c53-9fdb-4ece-9d68-9ec9eade0e5d_16000.wav
9c7856f9,e46b3c53-9fdb-4ece-9d68-9ec9eade0e5d,google,sub,యాజమాన్యం.,యాజమాన్యం,3.5,3.6,wav_files/telugu/e46b3c53-9fdb-4ece-9d68-9ec9eade0e5d_16000.wav
21622ce0,ff98342d-bf09-4cf5-b739-b27e18d40060,google,sub,మిరపలో,ఎరుకల,0.0,2.2,wav_files/telugu/ff98342d-bf09-4cf5-b739-b27e18d40060_16000.wav
76bf183b,ff98342d-bf09-4cf5-b739-b27e18d40060,google,sub,విల్ట్.,బెల్ట్,2.2,2.6,wav_files/telugu/ff98342d-bf09-4cf5-b739-b27e18d40060_16000.wav
b8f57cb4,c49fb966-98fe-498e-9e34-81d80785accc,google,del,మిరప,,0.0,9.153,wav_files/telugu/c49fb966-98fe-498e-9e34-81d80785accc_16000.wav
b74bc8a2,c49fb966-98fe-498e-9e34-81d80785accc,google,sub,తోట,తీసుకున్న,0.3,3.5,wav_files/telugu/c49fb966-98fe-498e-9e34-81d80785accc_16000.wav
146f6c43,c49fb966-98fe-498e-9e34-81d80785accc,google,sub,జరుగుతుంది.,జరుగుతుంది,6.5,6.7,wav_files/telugu/c49fb966-98fe-498e-9e34-81d80785accc_16000.wav
0abf5039,c49fb966-98fe-498e-9e34-81d80785accc,google,sub,వడలిపోయి,కూడా,7.8,8.0,wav_files/telugu/c49fb966-98fe-498e-9e34-81d80785accc_16000.wav
6b810659,c49fb966-98fe-498e-9e34-81d80785accc,google,sub,చనిపోతుంది.,చనిపోతుంది,8.0,8.8,wav_files/telugu/c49fb966-98fe-498e-9e34-81d80785accc_16000.wav
bac7cb0a,e52e1db4-cc38-446c-a5ba-31af2b2bfd5f,google,sub,ఉల్లిగడ్డల,ఉల్లి,2.3,2.4,wav_files/telugu/e52e1db4-cc38-446c-a5ba-31af2b2bfd5f_16000.wav
cd23bf5f,e52e1db4-cc38-446c-a5ba-31af2b2bfd5f,google,sub,ఉంది?,ఉంది,3.9,4.2,wav_files/telugu/e52e1db4-cc38-446c-a5ba-31af2b2bfd5f_16000.wav
5d49d0f3,b6386ed5-f3a4-4a40-8beb-a357f7ff4fa9,google,ins,,సోలార్,0.0,1.7,wav_files/telugu/b6386ed5-f3a4-4a40-8beb-a357f7ff4fa9_16000.wav
ac47f745,b6386ed5-f3a4-4a40-8beb-a357f7ff4fa9,google,sub,<unintelligible>,కాయలు,1.7,2.1,wav_files/telugu/b6386ed5-f3a4-4a40-8beb-a357f7ff4fa9_16000.wav
b2d6e308,b6386ed5-f3a4-4a40-8beb-a357f7ff4fa9,google,del,ఉంది?,,0.0,3.433,wav_files/telugu/b6386ed5-f3a4-4a40-8beb-a357f7ff4fa9_16000.wav
c6207c5b,da186ec5-16b0-4544-83c4-6316660220a3,google,ins,,వరి,0.0,1.6,wav_files/telugu/da186ec5-16b0-4544-83c4-6316660220a3_16000.wav
e8a06c7e,da186ec5-16b0-4544-83c4-6316660220a3,google,sub,వరిలో,లో,1.6,1.7,wav_files/telugu/da186ec5-16b0-4544-83c4-6316660220a3_16000.wav
4496b11b,da186ec5-16b0-4544-83c4-6316660220a3,google,sub,తీసుకోవాలి?,తీసుకోవాలి,5.0,5.6,wav_files/telugu/da186ec5-16b0-4544-83c4-6316660220a3_16000.wav
d6dfa701,da186ec5-16b0-4544-83c4-6316660220a3,google,sub,వాడాలి?,వాడాలి,9.0,9.5,wav_files/telugu/da186ec5-16b0-4544-83c4-6316660220a3_16000.wav
8849fa19,ea0266f0-b7cd-4da5-a61e-5e302b6d9466,google,ins,,మిర్చి,0.0,1.3,wav_files/telugu/ea0266f0-b7cd-4da5-a61e-5e302b6d9466_16000.wav
704e52d8,ea0266f0-b7cd-4da5-a61e-5e302b6d9466,google,sub,మిర్చిలో,లో,1.3,2.7,wav_files/telugu/ea0266f0-b7cd-4da5-a61e-5e302b6d9466_16000.wav
cd759ac7,ea0266f0-b7cd-4da5-a61e-5e302b6d9466,google,sub,వివరించండి.,వివరించండి,3.8,4.7,wav_files/telugu/ea0266f0-b7cd-4da5-a61e-5e302b6d9466_16000.wav
6f688603,37f437c4-80b2-4621-a553-3a75b6159c88,google,sub,మొత్తం,పూత,1.5,1.7,wav_files/telugu/37f437c4-80b2-4621-a553-3a75b6159c88_16000.wav
820aebd0,37f437c4-80b2-4621-a553-3a75b6159c88,google,sub,ఉన్నది.,ఉన్నది,2.4,2.9,wav_files/telugu/37f437c4-80b2-4621-a553-3a75b6159c88_16000.wav
96fe69b2,754439e9-4fb8-4094-aa60-336cb14da01e,google,sub,అదగొచ్చు,అడుగు,1.0,1.3,wav_files/telugu/754439e9-4fb8-4094-aa60-336cb14da01e_16000.wav
1a27c6f7,754439e9-4fb8-4094-aa60-336cb14da01e,google,sub,ఇలా:,శీల,1.3,1.6,wav_files/telugu/754439e9-4fb8-4094-aa60-336cb14da01e_16000.wav
7377060c,f92eb46b-58d7-4502-b5fa-2e327fa9b108,google,sub,తీసుకోవాలి?,తీసుకోవాలి,5.4,6.4,wav_files/telugu/f92eb46b-58d7-4502-b5fa-2e327fa9b108_16000.wav
20e4b0e9,cfefad63-1978-4f8b-a292-9a2fc3e30c1a,google,sub,విత్తనానికి,విత్తనం,1.8,2.5,wav_files/telugu/cfefad63-1978-4f8b-a292-9a2fc3e30c1a_16000.wav
86791ce8,da1f5706-b2a2-423f-8e44-0e82035a1fd3,google,del,ఏమవుతుంది?,,0.0,5.774,wav_files/telugu/da1f5706-b2a2-423f-8e44-0e82035a1fd3_16000.wav
40a8516d,405aa88b-e949-476e-af15-b4e01df07a5d,google,sub,వస్తుంది?,వస్తుంది,1.3,1.5,wav_files/telugu/405aa88b-e949-476e-af15-b4e01df07a5d_16000.wav
80d6900c,ea5ed4cf-d717-4319-bc80-92c42a9322c8,google,sub,కొడుకుకి,కొడుకు,3.0,3.6,wav_files/telugu/ea5ed4cf-d717-4319-bc80-92c42a9322c8_16000.wav
f130905c,ea5ed4cf-d717-4319-bc80-92c42a9322c8,google,sub,"వచ్చింది,",వస్తుంది,4.3,4.7,wav_files/telugu/ea5ed4cf-d717-4319-bc80-92c42a9322c8_16000.wav
98055d47,ea5ed4cf-d717-4319-bc80-92c42a9322c8,google,sub,వచ్చినాము,నుంచి,5.6,5.9,wav_files/telugu/ea5ed4cf-d717-4319-bc80-92c42a9322c8_16000.wav
a5c03b86,ea5ed4cf-d717-4319-bc80-92c42a9322c8,google,sub,అయినా,ఆయన,5.9,6.9,wav_files/telugu/ea5ed4cf-d717-4319-bc80-92c42a9322c8_16000.wav
548e3a7d,52e3a731-09a9-45b4-866b-0d460c760306,google,del,nan,,0.0,3.954,wav_files/telugu/52e3a731-09a9-45b4-866b-0d460c760306_16000.wav
3db6d7fc,69307cc8-41d8-4d1d-996a-df6be7cb9071,google,del,"దోమ,",,0.0,3.353,wav_files/telugu/69307cc8-41d8-4d1d-996a-df6be7cb9071_16000.wav
e71b18de,69307cc8-41d8-4d1d-996a-df6be7cb9071,google,del,తెల్ల,,0.0,3.353,wav_files/telugu/69307cc8-41d8-4d1d-996a-df6be7cb9071_16000.wav
7c2e027e,69307cc8-41d8-4d1d-996a-df6be7cb9071,google,del,పోవాలంటే,,0.0,3.353,wav_files/telugu/69307cc8-41d8-4d1d-996a-df6be7cb9071_16000.wav
ea1e4d8c,69307cc8-41d8-4d1d-996a-df6be7cb9071,google,del,ఏం,,0.0,3.353,wav_files/telugu/69307cc8-41d8-4d1d-996a-df6be7cb9071_16000.wav
