term,category
अम,Generic
अमंग,Generic
अमड़ा,Crop
अमदुर,Crop
अमदूर,Variety
अमरुद,Crop
अमरूद,Crop
अमरूद्ध,Variety
अमित,Generic
अमिन,Generic
अमृत,Generic
अमृतपाणी,Soil Nutrient/Fertiliser
अमृत,Generic
अर,Generic
अरगट,Pest/Disease
अरबी,Crop
अरमूद,Crop
अरमोदी,Generic
अरहर,Crop
अरुण,Generic
अरे,Generic
अरेर,Crop
अर्क,Generic
अर्गट,Agriculture unit
अर्जेंट,Generic
अर्थ।,Generic
अर्ध,Numeral
अल,Generic
अलका,Generic
अलग,Generic
अलवीरा,Variety
अलान,Agriculture unit
अल्लू,Crop
अल्लोव,Generic
अल्वा,Crop
अल्हात,Generic
अवकाड़ो,Crop
अवधि,Generic
अवसक्ता,Generic
अवसाई,Generic
अवस्थाये,Generic
अवा,Crop
अवान,Generic
अवोकाडो,Crop
असि,Generic
अस्ट्रज़ेन,Generic
अस्त,Generic
अस्त्र,Generic
अस्थनधारी,Generic
अहमदाबाद,Generic
अहर,Generic
आ,Generic
आँख,Generic
आंकड़ा,Generic
आंवला,Crop
आंसर,Generic
आइये,Generic
आई,Generic
आईपीएम,Generic
आईल,Generic
आई।,Generic
आउटब्रक,Generic
आए,Generic
आएं,Generic
आएंगे,Generic
आएगा,Generic
आएगा।,Generic
आएगी,Generic
आकर्सक,Generic
आखिर,Generic
आग,Generic
आगत,Generic
आगे,Generic
आग्नेयास्त्र,Generic
आघाद,Generic
आज,Generic
आजका,Generic
आज़ाद,Generic
आजिन,Generic
आज।,Generic
आठ,Numeral
आता,Generic
आता,Generic
आती,Generic
आते,Generic
आदमापुर,Generic
आदि,Generic
आदित,Generic
आद्र,Generic
आधा,Numeral
आना,Agriculture unit
आना,Generic
आने,Generic
आप,Generic
आपका,Generic
आपको,Generic
आपन,Generic
आपने,Generic
आपस,Generic
आपसे,Generic
आपसे।,Generic
आप,Generic
आम,Crop
आमंत्रण,Generic
आमके,Crop
आमला,Crop
आमसू,Generic
आय,Generic
आयल,Generic
आया,Generic
आया,Generic
आयी।,Generic
आयु,Generic
आये,Generic
आये।,Generic
आर,Generic
आरंडी,Crop
आर्गेनिक,Generic
आर्मीवर्म,Pest/Disease
आल,Generic
आलमंड,Crop
आलु,Crop
आलुआ,Crop
आलू,Crop
आलूवन,Variety
आलूवा,Crop
आलू,Crop
आलो,Crop
आल्लाक,Generic
आवता।,Generic
आवश्यक,Generic
आवश्यकता,Generic
आवसक्ता,Generic
आवाज,Generic
आशुतोष,Generic
आश्रय,Generic
आह,Generic
आहर,Generic
आहा,Generic
आ।,Generic
इ,Generic
इंग्लिश,Generic
इंच,Agriculture unit
इंची,Crop
इंटरव्यू,Generic
इंडिया,Generic
इंडोफिलएम,Generic
इंदौर,Generic
इंवॉल्व,Generic
इक,Numeral
इकतालीस,Numeral
इकतीस,Numeral
इकत्तीस,Numeral
इकहत्तर,Numeral
इकीस,Numeral
इको,Generic
इक्कीस,Numeral
इख,Crop
इखका,Crop
इट,Generic
इटना,Generic
इड,Generic
इडलीओ,Generic
इतना,Generic
इधन,Generic
इधर,Generic
इन,Generic
इनकरा।,Generic
इनपर,Generic
इनपुट,Generic
इनसे,Generic
इफ,Generic
इफ्को,Agriculture unit
इबका,Generic
इमरजेंस,Generic
इमामेकटिन,Generic
इमें,Generic
इमेज,Generic
इयरली,Generic
इरिगेशन,Generic
इरीगेशन,Generic
इल,Generic
इलाज,Generic
इलाज,Generic
इलाद,Generic
इलाहीं,Generic
इलेडी,Generic
इल्डर,Crop
इल्ली,Pest/Disease
इल्ले,Generic
इश्क,Generic
इस,Generic
इसका,Generic
इसका।,Generic
इसकी,Generic
इसके,Generic
इसको,Generic
इसको,Generic
इसपर,Generic
इसब,Generic
इसमें,Generic
इसलिए,Generic
इससे,Generic
इसी,Generic
इसीलिए,Generic
इसे,Generic
इस्तेमाल,Generic
इस्पे,Generic
इस्रएल,Generic
इस्लामाबाद,Generic
इहे,Generic
इहो,Generic
ई,Generic
ईंधन,Generic
ईख,Crop
ईगो,Generic
ईपीआर,Generic
ईसमे,Generic
उ,Generic
उका,Generic
उक्का,Generic
उखठा,Generic
उखड,Generic
उखड़ल,Generic
उखड़ा,Generic
उखता,Generic
उखाड़ा,Generic
उग,Generic
उगटा,Generic
उगता,Generic
उगती,Generic
उगन,Generic
उगना,Generic
उगने,Generic
उगा,Generic
उगाई,Generic
उगाऊं,Generic
उगाए,Generic
उगाएं,Generic
उगाते,Generic
उगाना,Generic
उगानी,Generic
उगाने,Generic
उगाय,Generic
उगाया,Generic
उगाये,Generic
उगे,Symptom
उगेंगे,Generic
उगेगा।,Generic
उघड़ते,Generic
उचित,Generic
उच्च,Generic
उच्चतम,Generic
उजला,Generic
उजले,Generic
उजा,Generic
उठ,Generic
उठाए,Generic
उठाएं,Generic
उठाएगा,Generic
उठायी,Generic
उठ्ठा,Generic
उड़द,Crop
उड़हल,Generic
उड़हुड़,Generic
उड़हुन,Pest/Disease
उड़हुल,Generic
उतना,Generic
उतरेगा,Generic
उतारे,Generic
उत्तबल,Generic
उत्तम,Generic
उत्तमतम,Generic
उत्तर,Generic
उत्तर,Generic
उत्ताजार,Generic
उत्पज्ज,Generic
उत्पति,Generic
उत्पन,Generic
उत्पन्न,Generic
उत्पर,Generic
उत्पाद,Generic
उत्पादन,Generic
उथा,Generic
उदराई,Symptom
उदासीन,Generic
उदाहरण,Generic
उदाहरण।,Generic
उदे,Generic
उद्देश्य,Generic
उधा,Generic
उधारण,Generic
उन,Generic
उनका,Generic
उनके,Generic
उनको,Generic
उनतीस,Numeral
उनत्तर,Generic
उनमें,Generic
उनसे,Generic
उनीस,Numeral
उन्तीस,Numeral
उन्नत,Generic
उन्नीस,Numeral
उन्ही,Generic
उन्हें,Generic
उपचार,Generic
उपचारण,Generic
उपचारान,Generic
उपचारित,Generic
उपचार,Generic
उपचास,Generic
उपज,Generic
उपजता,Generic
उपजने,Generic
उपजल,Generic
उपजा,Generic
उपजाई,Generic
उपजाउ,Generic
उपजाऊ,Generic
उपजाऊपन,Generic
उपजाए,Generic
उपजाएं,Generic
उपजाओ,Generic
उपजाता,Variety
उपजाना,Generic
उपजाने,Generic
उपजाया,Generic
उपजाये,Generic
उपजे,Generic
उपजेगा,Generic
उपज,Generic
उपटि,Generic
उपदेश,Generic
उपनि,Generic
उपनिवेशन,Agriculture unit
उपयुक्त,Generic
उपयोग,Generic
उपयोगता,Generic
उपयोगी,Generic
उपयोग।,Generic
उपलब्द,Generic
उपलब्ध,Generic
उपस्था,Generic
उपाय,Generic
उपाय,Generic
उपार,Generic
उपारण,Generic
उपारे,Generic
उपिदत,Generic
उपियोग,Generic
उरद,Crop
उरहुल,Generic
उरिद,Crop
उरीद,Crop
उर्बर,Generic
उर्बरक,Soil Nutrient/Fertiliser
उर्बरकता,Generic
उर्बरी,Generic
उर्वरक,Soil Nutrient/Fertiliser
उर्वरकता,Generic
उर्वरकों,Soil Nutrient/Fertiliser
उल्लू,Generic
उस,Generic
उसका,Generic
उसका,Generic
उसकी,Generic
उसके,Generic
उसके।,Generic
उसको,Generic
उसको।,Generic
उसने,Generic
उसपर,Generic
उसपे,Generic
उसमकोली,Generic
उसमे,Generic
उसमें,Generic
उसमें।,Generic
उसरेली,Generic
उससे,Generic
उसी,Generic
उसे,Generic
उस्से,Generic
उहैतो,Generic
उ।,Generic
ऊ,Generic
ऊख,Crop
ऊग,Generic
ऊगा,Generic
ऊगाने,Generic
ऊजाउ,Generic
ऊजाउ।,Generic
ऊनि,Generic
ऊपज,Generic
ऊपजता,Generic
ऊपर,Generic
ऊपरी,Generic
ऊपरे,Generic
ऊबता,Generic
ऊर्जा,Generic
ऋतुकाल,Generic
ऋतू,Generic
ए,Generic
एंट्री,Generic
एंड,Generic
एइट,Numeral
एओ,Generic
एक,Numeral
एकड़,Agriculture unit
एकड़,Agriculture unit
एकतालीस,Numeral
एकतीस,Numeral
एकदम,Generic
एकर,Agriculture unit
एकरगो,Generic
एकरा,Agriculture unit
एकसौ,Numeral
एकाध,Generic
एके,Numeral
एकॉन,Generic
एक्का,Numeral
एक्ट,Generic
एक्टि,Generic
एक्रो,Generic
एक्रोसे।,Generic
एक्स,Generic
एक्सपायर्ड,Generic
एखतर,Generic
एगो,Numeral
एचडी,Generic
एज,Generic
एजेंडा,Generic
एटराजीन,Generic
एट्राजिन,Generic
एडलानी,Generic
एडा,Generic
एतना,Generic
एथी,Generic
एथीके,Generic
एन,Generic
एनपीके,Soil Nutrient/Fertiliser
एप्प,Crop
एफपीओ,Agriculture unit
एफ़टीवी,Generic
एफिट,Pest/Disease
एबंग,Generic
एबार,Generic
एबी,Generic
एबोम,Generic
एम,Generic
एमआरआई,Generic
एमएल,Agriculture unit
एमपी,Generic
एमपीके,Soil Nutrient/Fertiliser
एमे,Generic
एमेर्जेंस,Generic
एमैन,Generic
एरिगेशन,Generic
एरिया,Generic
एल,Generic
एलआर,Generic
एलर,Generic
एलास,Generic
एलो,Generic
एलोवेरा,Crop
एवं,Generic
एवं,Generic
एवोकाडो,Crop
एस,Generic
एसडब्लूआई,Agriculture unit
एसडब्लूएआई,Generic
एसडब्ल्यूआई,Generic
एसिटामिप्रिड,Generic
एसिड,Generic
एसी,Generic
एस्ट्राजिन,Generic
एहने,Generic
एहि,Generic
ऐ,Generic
ऐटराजिन,Generic
ऐन,Generic
ऐप,Generic
ऐब,Generic
ऐसा,Generic
ऐसी,Generic
ऐसे,Generic
ऐसे।,Generic
ऑन,Generic
ऑप्शन,Generic
ऑफ़,Generic
ऑब्लिक,Crop
ऑयस्टर,Generic
ऑल,Crop
ओ,Generic
ओंबोअर्डिंग,Generic
ओएस्टर,Generic
ओकनी,Agriculture unit
ओकर,Generic
ओकरा,Crop
ओके,Generic
ओके,Generic
ओखर,Crop
ओजन,Generic
ओटीपी,Generic
ओडहुल,Crop
ओड़हल,Generic
ओड़हुल,Generic
ओढहूल,Generic
ओढ़हुल,Generic
ओढ़ाये,Generic
ओतो,Generic
ओने,Numeral
ओपी,Variety
ओमें,Generic
ओयस्टर,Generic
ओये,Generic
ओर,Generic
ओरहल,Generic
ओरहा,Generic
ओरियारपुर,Generic
ओरी,Agriculture unit
ओल,Crop
ओान,Generic
औ,Generic
और,Generic
औरहा,Crop
औषधिया,Generic
औसतन,Generic
क,Generic
कंगा,Generic
कंटिन्यू,Generic
कंट्रोल,Generic
कंट्रोल,Generic
कंठ,Generic
कंठा,Generic
कंद,Generic
कंदा,Crop
कंदूर,Generic
कंनसुआ,Generic
कंपोस्ट,Soil Nutrient/Fertiliser
कंसरटिया,Generic
कइनी,Generic
कइल,Generic
कइली,Generic
कइसन,Generic
कइसे,Generic
कई,Generic
कई,Numeral
कउनो,Generic
ककचु,Generic
ककड़ी,Crop
ककुड़ी,Crop
कक्ष,Generic
कची,Generic
कचुआ,Generic
कच्चा,Generic
कच्ची,Generic
कछुआ,Generic
कजरा,Generic
कजरी,Variety
कजुरी,Variety
कट,Generic
कटटू,Crop
कटता,Generic
कटनी,Generic
कटने,Generic
कटर,Generic
कटवन,Generic
कटहर,Crop
कटहल,Crop
कटा,Generic
कटाई,Generic
कटिंग,Generic
कटुई,Generic
कटे,Generic
कटेगा,Generic
कटैला,Generic
कट्ठा,Agriculture unit
कठोरा,Pest/Disease
कड़हाई,Generic
कढ़ी,Generic
कण्ट्रोल,Generic
कण्ड,Generic
कत्ति,Generic
कथि,Generic
कथे,Generic
कदम,Generic
कदुआ,Crop
कदूआ,Crop
कदेमां,Generic
कद्दू,Crop
कद्दू,Crop
कना,Crop
कनाएल,Generic
कनायल,Generic
कने,Generic
कनो,Generic
कन्नी,Generic
कन्हैया,Generic
कब,Generic
कब-कब,Generic
कबरने,Generic
कबसे,Generic
कबाड़ने,Generic
कबारा,Generic
कबो,Generic
कब्ज,Symptom
कब्बी,Generic
कब।,Generic
कभी,Generic
कम,Generic
कमजोर,Generic
कमरा,Generic
कमरे,Generic
कमसी,Generic
कमि,Generic
कमीटी,Generic
कमी,Symptom
कमैनई,Generic
कम्मी,Generic
कय,Generic
कयगो,Generic
कया-क्या,Generic
कर,Generic
करंट,Crop
करआने,Generic
करके,Generic
करके।,Generic
करत,Generic
करता,Generic
करती,Generic
करते,Generic
करथी,Generic
करन,Generic
करना,Generic
करना।,Generic
करनी,Generic
करनी।,Generic
करने,Generic
करबंडा,Generic
करबे,Generic
करबेनडाजिन,Generic
करम,Generic
कररेर,Generic
करल,Crop
करलई,Crop
करलील,Symptom
करले,Generic
करवा,Generic
करवाए,Generic
करवाएं,Generic
करवामी,Generic
करा,Generic
कराइ,Generic
कराई,Generic
कराउजी,Pest/Disease
कराए,Generic
कराएं,Generic
कराएंगे,Generic
करात,Generic
कराना,Generic
कराय,Generic
करायला,Generic
कराया,Generic
करारे,Generic
कराव,Generic
करावेंट,Generic
करि,Generic
करिया,Generic
करियेगा,Generic
करिले,Crop
करि।,Generic
करी,Generic
करीब,Generic
करीला,Crop
करु,Generic
करुण,Generic
करू,Generic
करूं,Generic
करे,Generic
करें,Generic
करेंगे,Generic
करेंगे,Generic
करें।,Generic
करेइ,Crop
करेगा,Generic
करेगा।,Generic
करेगे,Generic
करेन्गे,Generic
करेला,Crop
करेली,Crop
करेले,Crop
करेसिन,Generic
करे,Generic
करैता,Crop
करैला,Crop
करैली,Crop
करो,Generic
करोड़,Numeral
करौली,Generic
कर्म,Generic
कर्मी,Generic
कर।,Generic
कल,Generic
कलका,Generic
कलरोपायरी,Generic
कलर।,Generic
कलसांडे,Generic
कलस्टर,Generic
कला,Generic
कलापन,Generic
कलि,Generic
कली,Generic
कलीतक,Generic
कलेक्शन,Generic
कलो,Generic
कल्टीवेटर,Agriculture unit
कल्ला,Generic
कल्ली,Generic
कल्ले,Generic
कवा,Generic
कष्ट,Generic
कस्टोडि,Generic
कहते,Generic
कहना,Generic
कहने,Generic
कहलिया,Generic
कहवा,Generic
कहा,Generic
कहां,Generic
कहिए,Generic
कहिया,Generic
कही,Generic
कहीना,Generic
कहे,Generic
कहेन,Generic
कहेना,Generic
क़िस्म,Variety
का,Generic
काँटा,Generic
कांगो,Variety
कांच,Generic
कांटों,Generic
कांड,Generic
कांदा,Crop
काकजी,Pest/Disease
काको,Generic
कागजी,Generic
काची,Generic
काचीज,Generic
काची,Generic
काजू,Crop
काट,Generic
काटता,Generic
काटतो,Generic
काटने,Generic
काटा,Generic
काटावाला,Generic
काटिये,Generic
काटे,Generic
काढ़ा,Generic
कादा,Generic
कादो,Generic
कान,Generic
काना,Generic
कानी,Generic
काब,Generic
काबली,Variety
काम,Generic
कामासूत्र,Generic
काय,Generic
काया,Generic
काये,Generic
कारण,Generic
कारणवस,Generic
कारण।,Generic
कारन,Generic
कार्ड,Generic
कार्बेन्डाजिम,Generic
कार्बोंडा,Generic
कार्बोनडाज़िम,Generic
कार्यों,Generic
कार्य,Generic
काल,Generic
कालत,Generic
काला,Generic
कालापन,Symptom
काला,Generic
काली,Generic
काले,Generic
कास्त,Generic
काहा,Generic
काहा।,Generic
काहे,Generic
का।,Generic
कि,Generic
किए,Generic
किओंगी,Variety
किकुड,Generic
किकुड़,Generic
किकुड़ापन,Symptom
किकुड़ी,Crop
किचन,Generic
किचेन,Generic
किट,Pest/Disease
किटनाशक,Generic
किटाणु,Pest/Disease
किटुआ,Generic
किडनी,Generic
किड़ा,Pest/Disease
किड़ापन,Symptom
किड़ा।,Pest/Disease
किड़े,Pest/Disease
कितकी,Generic
कितना,Generic
कितनासू,Generic
कितना,Generic
कितनी,Generic
कितने,Generic
कितारी,Generic
किधर,Generic
किन,Generic
किनसे,Generic
किन्हीं,Generic
किया,Generic
किया।,Generic
किये,Generic
किरा,Pest/Disease
किलरा,Generic
किलाड़ी,Generic
किलो,Agriculture unit
किलोलबाई,Generic
किलो,Agriculture unit
किस,Generic
किस-किस,Generic
किसका,Generic
किसको,Generic
किसन,Generic
किसने,Generic
किसम,Generic
किसमें,Generic
किसलिए,Generic
किसान,Generic
किसानी,Generic
किसिंग,Generic
किसिम,Variety
किसी,Generic
किसे,Generic
किस्म,Variety
किस्मे,Generic
किस्में,Generic
किस्म,Generic
कि।,Generic
की,Generic
कीकरा,Pest/Disease
कीकूड़ा,Pest/Disease
कीजि,Generic
कीजिये,Generic
कीजियेगा,Generic
कीट,Pest/Disease
कीटनाशक,Generic
कीटनाशकों,Generic
कीटनाशक,Generic
कीटनाशी,Generic
कीटनास,Generic
कीटर,Pest/Disease
कीटाणु,Pest/Disease
कीटे,Pest/Disease
कीटो,Pest/Disease
कीटों,Pest/Disease
कीट,Pest/Disease
कीड़ा,Pest/Disease
कीड़ा।,Pest/Disease
कीड़े,Pest/Disease
कीड़े,Pest/Disease
कीडा,Pest/Disease
कीतना,Generic
कीन,Generic
कीना,Pest/Disease
कीमत,Generic
कीया,Pest/Disease
कीरा,Pest/Disease
कीलो,Agriculture unit
कीस,Generic
कीसी,Generic
की।,Generic
कुआ,Generic
कुकड़,Generic
कुकड़ा,Generic
कुकड़िया,Pest/Disease
कुकड़ी,Crop
कुकर,Generic
कुकरा,Generic
कुकरापन,Generic
कुकरिया,Crop
कुकरी,Crop
कुकुड़,Generic
कुखड़ा,Generic
कुखरी,Generic
कुछ,Generic
कुछु,Generic
कुछु,Generic
कुछो,Generic
कुछ,Generic
कुजापी,Variety
कुटकी,Crop
कुटा,Generic
कुत्ता,Generic
कुत्ता,Generic
कुत्तिया,Generic
कुत्ती,Generic
कुत्ती,Generic
कुत्त्ता,Generic
कुबाई,Generic
कुमड़ा,Crop
कुमार,Generic
कुमार।,Generic
कुम्भी,Crop
कुरकुरे,Generic
कुरा,Generic
कुर्सी,Generic
कुल,Generic
कुलरु,Generic
कुश,Generic
कुहासे,Generic
कुहू,Variety
कृप,Generic
कृपया,Generic
कृमिकरण,Soil Nutrient/Fertiliser
कृषि,Generic
के,Generic
केंका,Generic
केंग,Generic
केंचुआ,Generic
केअच्छे,Generic
केक,Generic
केकरु,Pest/Disease
केगो,Generic
केचुआ,Generic
केचुवा,Generic
केचूआ,Generic
केछुवा,Pest/Disease
केजी,Agriculture unit
केड़ै,Pest/Disease
केतना,Generic
केतरि,Generic
केतवन,Generic
केतारी,Generic
केति,Generic
केथी,Generic
केदर,Generic
केदारी,Variety
केदार,Variety
केना,Generic
केनैल,Generic
केबा,Generic
केभी,Generic
केमिकल,Generic
केरओ,Crop
केरला,Generic
केरा,Crop
केराओ,Generic
केराय,Crop
केराव,Generic
केरोकटिंग,Generic
केला,Crop
केले,Crop
केव,Generic
केवड़ा,Crop
केस,Generic
केसरी,Generic
केसिंग,Generic
केसींग,Generic
केहलाता,Generic
केहिनी,Generic
केहू,Generic
के।,Generic
के,Generic
आलू,Crop
कै,Generic
कैंडी,Generic
कैंप,Generic
कैंसे,Generic
कैद,Generic
कैब,Generic
कैल्शियम,Soil Nutrient/Fertiliser
कैसन,Generic
कैसा,Generic
कैसी,Generic
कैसे,Generic
कैसे,Generic
कैस।,Generic
कॉकपिट,Generic
कॉटन,Crop
कॉन्ट्रेयल,Generic
कॉन्स्टि,Generic
कॉर्न,Crop
कॉर्बेट,Generic
कॉल,Generic
कॉस्ट,Generic
को,Generic
कों,Generic
कोंची,Generic
कोई,Generic
कोईलि,Generic
कोईली,Generic
कोकड़ी,Crop
कोकर,Pest/Disease
कोकरा,Soil Nutrient/Fertiliser
कोची,Generic
कोच्ची,Generic
कोट,Generic
कोटन,Crop
कोटि,Generic
कोटोवा,Generic
कोड,Generic
कोडहोल,Generic
कोड़ाई,Generic
कोड़ाई,Generic
कोड़ी,Numeral
कोढ़,Pest/Disease
कोढ़ाई,Pest/Disease
कोतारी,Generic
कोतो,Generic
कोदी,Crop
कोदो,Crop
कोन,Generic
कोने,Generic
कोनो,Generic
कोफ़ी,Crop
कोबिया,Variety
कोबी,Crop
कोभी,Crop
कोभी।,Generic
कोयल,Generic
कोयली,Generic
कोलाजोल,Generic
कोलायक,Generic
कोलिया,Generic
कोलोरा,Variety
कोष,Generic
कोसारा,Generic
कोस्टल,Generic
कोहड़ा,Crop
कोहा,Generic
कोहोब,Generic
कोहोरा,Generic
को।,Generic
कौ,Generic
कौची,Generic
कौड़ी,Generic
कौन,Generic
कौन-कौन,Generic
कौनची-कौनची,Generic
कौनसा,Generic
कौना,Generic
कौनो,Generic
कौन,Generic
क्या,Generic
क्या-क्या,Generic
क्याची,Generic
क्याचीज,Generic
क्या,Generic
क्यु,Generic
क्युकी,Generic
क्यों,Generic
क्यों।,Generic
क्र,Generic
क्रम,Generic
क्रव्य,Generic
क्राफ्ट,Generic
क्रिसिओ,Generic
क्रिसिम,Generic
क्रिस्चियन,Generic
क्रैक,Generic
क्रॉप,Crop
क्रॉप्स,Generic
क्रॉप,Crop
क्रोबीज,Generic
क्लाइमेट,Generic
क्लिक,Generic
क्लोरोपाइरीफोस,Pest/Disease
क्लोरोपायरीफॉस,Pest/Disease
क्लोरोप्यरीफोस,Generic
क्वालिटी,Generic
क्विंटल,Agriculture unit
क्वेरी,Generic
क्वेश्चन,Generic
क्वेश्चन,Generic
क्वेसटीन,Generic
क्षति,Generic
क्षती,Generic
क्षमता,Generic
क्षार,Generic
क्षेत्र,Agriculture unit
खकड़ी,Crop
खखड़ा,Generic
खटोही,Pest/Disease
खट्टा,Generic
खड़,Generic
खड़पतवार,Generic
खड़पतवार,Pest/Disease
खड़प्तवार,Generic
खड़ा,Generic
खतम,Generic
खनिज,Soil Nutrient/Fertiliser
खबर,Generic
खबारनी,Generic
खमाखा,Generic
खर,Generic
खरतर,Generic
खरपतवार,Generic
खरपतवारो,Pest/Disease
खराब,Generic
खराब।,Generic
खरी,Generic
खरीद,Generic
खरीदें,Generic
खरीदो,Generic
खरीफ,Generic
खर्च,Generic
खर्थुआ,Variety
खली,Generic
खस्सी,Generic
ख़तम,Generic
ख़त्म,Generic
ख़राब,Generic
ख़ास,Generic
खा,Generic
खांस,Symptom
खांसने,Symptom
खांसी,Symptom
खांसी,Symptom
खाई,Agriculture unit
खाए,Generic
खाएं,Generic
खाएं,Generic
खाएगा,Generic
खाके,Generic
खाखड़ा,Generic
खागरा,Generic
खाता,Generic
खातिर,Generic
खाती,Generic
खाद,Soil Nutrient/Fertiliser
खादों,Soil Nutrient/Fertiliser
खाद्य,Generic
खाद्य,Generic
खाद,Soil Nutrient/Fertiliser
खान,Generic
खाना,Generic
खाने,Generic
खानैला,Pest/Disease
खाय,Generic
खाये,Generic
खाये,Generic
खालि,Generic
खाली,Generic
खास,Generic
खासी,Symptom
खास्ता,Pest/Disease
खिया,Symptom
खियाना,Generic
खिलाए,Generic
खिलाएं,Generic
खिलाएंगे,Generic
खिलाओगे,Generic
खिलाना,Generic
खिलाय,Generic
खिलाया,Generic
खिलाये,Generic
खिलाये,Generic
खिलावे,Generic
खी,Generic
खींच,Generic
खीरा,Crop
खीरे,Crop
खीलता,Symptom
खीलेगा,Generic
खीवा,Generic
खु,Generic
खुआयम,Generic
खुद,Generic
खुरपका,Generic
खुरहार,Generic
खुरा,Generic
खुराख,Soil Nutrient/Fertiliser
खुरावा,Generic
खुल,Generic
खुला,Generic
खुलाना,Generic
खुलेगा,Generic
खूड़,Generic
खूब,Generic
खूरपक्का,Generic
खेखासने,Generic
खेत,Agriculture unit
खेती,Generic
खेतीया,Generic
खेती।,Generic
खेतो,Agriculture unit
खेतों,Agriculture unit
खेत,Agriculture unit
खेला,Generic
खेल,Generic
खेसारी,Crop
खैना,Generic
खैनी,Generic
खैरा,Pest/Disease
खोकी,Generic
खोखी,Generic
खोड़ा,Generic
खोद,Generic
खोदो,Generic
खोरहा,Agriculture unit
खोली,Agriculture unit
खोली,Generic
खोहा,Generic
ख्खरा,Generic
गंदी,Generic
गंध,Generic
गंधा,Generic
गंधि,Generic
गंधी,Generic
गइनी,Generic
गइया,Generic
गइल,Generic
गई।,Generic
गए,Generic
गए।,Generic
गजरामृत,Soil Nutrient/Fertiliser
गठिया,Pest/Disease
गठे,Generic
गड़ाड़ी,Generic
गड़ार,Generic
गड़ारी,Generic
गड्ढा,Generic
गति,Generic
गति।,Generic
गदराने,Generic
गधा,Generic
गनती,Numeral
गन्द,Generic
गन्दी,Generic
गन्ना,Crop
गन्ने,Crop
गपचुआ,Generic
गबभा,Generic
गब्भा,Pest/Disease
गभ,Generic
गभा,Generic
गम,Generic
गया,Generic
गयाजावा,Crop
गया।,Generic
गयी,Generic
गये,Generic
गर,Generic
गरम,Generic
गरमा,Generic
गरात,Generic
गरार,Generic
गर्भधारण,Generic
गर्भाशय,Generic
गर्मी,Generic
गर्व,Generic
गल,Generic
गलओ,Generic
गलका,Generic
गलकी,Pest/Disease
गलके,Generic
गलत,Generic
गलता,Generic
गलते,Generic
गलन,Symptom
गलने,Symptom
गलरा,Generic
गला,Generic
गव,Generic
गवा,Generic
गहन,Generic
गहरी,Generic
गहु,Crop
गहू,Crop
गा,Generic
गाँठ,Generic
गाँधी,Generic
गाँव,Generic
गांजा,Crop
गांठे,Generic
गांड,Generic
गांड़,Generic
गांधी,Generic
गांव,Agriculture unit
गांव,Generic
गाइअरि,Generic
गाई,Generic
गाऊँ,Generic
गाए,Generic
गाओ,Generic
गाकर,Generic
गाछ,Generic
गाछी,Agriculture unit
गाछ,Generic
गाजन,Crop
गाजर,Crop
गाजा,Crop
गाझि,Generic
गाझी,Crop
गाठ,Symptom
गाड़ी,Generic
गाना,Generic
गाबिन,Generic
गाभ,Generic
गाभा,Generic
गाभिन,Generic
गाभी,Crop
गाम,Agriculture unit
गाय,Generic
गाय,Generic
गार्डन,Agriculture unit
गार्डेन,Agriculture unit
गाल,Generic
